unique_identifier,project_name,condition,replicate_id,reference_condition_identifier,reference_strain,deleted_genes,mutated_genes,overexpressed_genes,perturbed_gene_ids,doi,pmid,organism,dataset,R1,R2,pH,GEO,Run,SRX,contact,creator,project,Platform,run_date,full_name,sample_id,Base Media,Culture Type,n_replicates,LibraryLayout,passed_fastqc,Evolved Sample,Temperature (C),Electron Acceptor,Sequencing Machine,Strain Description,Carbon Source (g/L),Biological Replicates,Nitrogen Source (g/L),Trace Element Mixture,passed_pct_reads_mapped,passed_number_replicates,passed_global_correlation,passed_similar_replicates,passed_reads_mapped_to_CDS,Supplement,Growth Rate (1/hr),Antibiotic for selection,Additional Details,Isolate Type
p1k_00011,Acid,wt_ph5,1,p1k_00011;p1k_00012,MG1655,,,,"",10.1038/ncomms8970,,e_coli,precise1k,s3://precise-db/raw_data/acid/RNAseq-WT-pH-5-5-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-WT-pH-5-5-1_S1_L001_R2_001.fastq.gz,5.5,GSE66482,SRR1824557,SRX895926,Sangwoo Seo,Sangwoo Seo,acid,ILLUMINA,7/15/2014,acid:wt_ph5,acid__wt_ph5__1,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
p1k_00012,Acid,wt_ph5,2,p1k_00011;p1k_00012,MG1655,,,,"",10.1038/ncomms8970,,e_coli,precise1k,s3://precise-db/raw_data/acid/RNAseq-WT-pH-5-5-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-WT-pH-5-5-2_S2_L001_R2_001.fastq.gz,5.5,GSE66482,SRR1824558,SRX895927,Sangwoo Seo,Sangwoo Seo,acid,ILLUMINA,7/15/2014,acid:wt_ph5,acid__wt_ph5__2,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
p1k_00014,Acid,delgadx_ph5,2,p1k_00011;p1k_00012,MG1655,gadx,,,"b3516",10.1038/ncomms8970,,e_coli,precise1k,s3://precise-db/raw_data/acid/RNAseq-dgadX-pH-5-5-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-dgadX-pH-5-5-2_S2_L001_R2_001.fastq.gz,5.5,GSE66482,SRR1824564,SRX895933,Sangwoo Seo,Sangwoo Seo,acid,ILLUMINA,7/17/2014,acid:delgadx_ph5,acid__delgadx_ph5__2,M9,Batch,1,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655 del_gadX,glucose(2),2,NH4Cl(1),,TRUE,FALSE,TRUE,TRUE,TRUE,,,Kanamycin (50 ug/mL),,
p1k_00015,Acid,delgadw_ph5,1,p1k_00011;p1k_00012,MG1655,gadw,,,"b3515",10.1038/ncomms8970,,e_coli,precise1k,s3://precise-db/raw_data/acid/RNAseq-dgadW-pH-5-5-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-dgadW-pH-5-5-1_S1_L001_R2_001.fastq.gz,5.5,GSE66482,SRR1824561,SRX895930,Sangwoo Seo,Sangwoo Seo,acid,ILLUMINA,7/16/2014,acid:delgadw_ph5,acid__delgadw_ph5__1,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655 del_gadW,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,,,Kanamycin (50 ug/mL),,
p1k_00016,Acid,delgadw_ph5,2,p1k_00011;p1k_00012,MG1655,gadw,,,"b3515",10.1038/ncomms8970,,e_coli,precise1k,s3://precise-db/raw_data/acid/RNAseq-dgadW-pH-5-5-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-dgadW-pH-5-5-2_S2_L001_R2_001.fastq.gz,5.5,GSE66482,SRR1824562,SRX895931,Sangwoo Seo,Sangwoo Seo,acid,ILLUMINA,7/16/2014,acid:delgadw_ph5,acid__delgadw_ph5__2,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655 del_gadW,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,,,Kanamycin (50 ug/mL),,
p1k_00017,Acid,delgade_ph5,1,p1k_00011;p1k_00012,MG1655,gade,,,"b3512",10.1038/ncomms8970,,e_coli,precise1k,s3://precise-db/raw_data/acid/RNAseq-dgadE-pH-5-5-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-dgadE-pH-5-5-1_S1_L001_R2_001.fastq.gz,5.5,GSE66482,SRR1824559,SRX895928,Sangwoo Seo,Sangwoo Seo,acid,ILLUMINA,7/16/2014,acid:delgade_ph5,acid__delgade_ph5__1,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655 del_gadE,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,,,Kanamycin (50 ug/mL),,
p1k_00018,Acid,delgade_ph5,2,p1k_00011;p1k_00012,MG1655,gade,,,"b3512",10.1038/ncomms8970,,e_coli,precise1k,s3://precise-db/raw_data/acid/RNAseq-dgadE-pH-5-5-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/acid/RNAseq-dgadE-pH-5-5-2_S2_L001_R2_001.fastq.gz,5.5,GSE66482,SRR1824560,SRX895929,Sangwoo Seo,Sangwoo Seo,acid,ILLUMINA,7/16/2014,acid:delgade_ph5,acid__delgade_ph5__2,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655 del_gadE,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,,,Kanamycin (50 ug/mL),,
p1k_00019,Oxidative,wt_pq,1,p1k_00019;p1k_00020,MG1655,,,,"",10.1016/j.celrep.2015.07.043,,e_coli,precise1k,s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-1_S1_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-1_S1_L001_R2_001.fastq.gz,7,GSE65711,SRR1796598,SRX871628,Sangwoo Seo,Sangwoo Seo,oxidative,ILLUMINA,8/27/2014,oxidative:wt_pq,oxidative__wt_pq__1,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,PQ (250uM),0,,,
p1k_00020,Oxidative,wt_pq,2,p1k_00019;p1k_00020,MG1655,,,,"",10.1016/j.celrep.2015.07.043,,e_coli,precise1k,s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-2_S2_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/WT-PQ-RNAseq-2_S2_L001_R2_001.fastq.gz,7,GSE65711,SRR1796599,SRX871629,Sangwoo Seo,Sangwoo Seo,oxidative,ILLUMINA,8/27/2014,oxidative:wt_pq,oxidative__wt_pq__2,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,PQ (250uM),0,,,
p1k_00021,Oxidative,deloxyr_pq,1,p1k_00019;p1k_00020,MG1655,oxyr,,,"b3961",10.1016/j.celrep.2015.07.043,,e_coli,precise1k,s3://precise-db/raw_data/oxidative/oxyR-PQ-RNAseq-1_S3_L001_R1_001.fastq.gz,s3://precise-db/raw_data/oxidative/oxyR-PQ-RNAseq-1_S3_L001_R2_001.fastq.gz,7,GSE65711,SRR1796600,SRX871630,Sangwoo Seo,Sangwoo Seo,oxidative,ILLUMINA,9/4/2014,oxidative:deloxyr_pq,oxidative__deloxyr_pq__1,M9,Batch,2,PAIRED,TRUE,No,37,O2,MiSeq,Escherichia coli K-12 MG1655 del_oxyR,glucose(2),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,PQ (250uM),0,Kanamycin (50 ug/mL),,
