unique_identifier,project_name,condition,replicate_id,reference_condition_identifier,reference_strain,deleted_genes,mutated_genes,overexpressed_genes,perturbed_gene_ids,doi,pmid,organism,dataset,R1,R2,pH,GEO,Run,SRX,contact,creator,project,Platform,run_date,full_name,sample_id,Base Media,Culture Type,n_replicates,LibraryLayout,passed_fastqc,Evolved Sample,Temperature (C),Electron Acceptor,Sequencing Machine,Strain Description,Carbon Source (g/L),Biological Replicates,Nitrogen Source (g/L),Trace Element Mixture,passed_pct_reads_mapped,passed_number_replicates,passed_global_correlation,passed_similar_replicates,passed_reads_mapped_to_CDS,Supplement,Growth Rate (1/hr),Antibiotic for selection,Additional Details,Isolate Type
p1k_00331,OxyR ALE,oxyR_ale18_h2o2,1,p1k_00317;p1k_00318,GMOS,,,,"",10.1093/molbev/msz251,,e_coli,precise1k,s3://precise-db/raw_data/oxyR/PAL045_S45_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL045_S45_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL045_S45_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL045_S45_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL045_S45_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL045_S45_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL045_S45_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL045_S45_L004_R2_001.fastq.gz,7,GSE135516,SRR9919238,SRX6668328,Amitesh Anand,Amitesh Anand,oxyR,ILLUMINA,3/8/2019,oxyR:oxyR_ale18_h2o2,oxyR__oxyR_ale18_h2o2__1,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,HiSeq 4000,Escherichia coli OxyR.18.39,glucose(4),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,H2O2(2mM),,,,Clonal
p1k_00332,OxyR ALE,oxyR_ale18_h2o2,2,p1k_00317;p1k_00318,GMOS,,,,"",10.1093/molbev/msz251,,e_coli,precise1k,s3://precise-db/raw_data/oxyR/PAL046_S46_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL046_S46_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL046_S46_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL046_S46_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL046_S46_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL046_S46_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL046_S46_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL046_S46_L004_R2_001.fastq.gz,7,GSE135516,SRR9919239,SRX6668329,Amitesh Anand,Amitesh Anand,oxyR,ILLUMINA,3/8/2019,oxyR:oxyR_ale18_h2o2,oxyR__oxyR_ale18_h2o2__2,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,HiSeq 4000,Escherichia coli OxyR.18.39,glucose(4),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,H2O2(2mM),,,,Clonal
p1k_00333,OxyR ALE,oxyR_ale19,1,p1k_00317;p1k_00318,GMOS,,,,"",10.1093/molbev/msz251,,e_coli,precise1k,s3://precise-db/raw_data/oxyR/PAL047_S47_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL047_S47_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL047_S47_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL047_S47_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL047_S47_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL047_S47_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL047_S47_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL047_S47_L004_R2_001.fastq.gz,7,GSE135516,SRR9919240,SRX6668330,Amitesh Anand,Amitesh Anand,oxyR,ILLUMINA,3/8/2019,oxyR:oxyR_ale19,oxyR__oxyR_ale19__1,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,HiSeq 4000,Escherichia coli OxyR.19.39,glucose(4),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00334,OxyR ALE,oxyR_ale19,2,p1k_00317;p1k_00318,GMOS,,,,"",10.1093/molbev/msz251,,e_coli,precise1k,s3://precise-db/raw_data/oxyR/PAL048_S48_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL048_S48_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL048_S48_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL048_S48_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL048_S48_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL048_S48_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL048_S48_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL048_S48_L004_R2_001.fastq.gz,7,GSE135516,SRR9919241,SRX6668331,Amitesh Anand,Amitesh Anand,oxyR,ILLUMINA,3/8/2019,oxyR:oxyR_ale19,oxyR__oxyR_ale19__2,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,HiSeq 4000,Escherichia coli OxyR.19.39,glucose(4),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00335,OxyR ALE,oxyR_ale19_h2o2,1,p1k_00317;p1k_00318,GMOS,,,,"",10.1093/molbev/msz251,,e_coli,precise1k,s3://precise-db/raw_data/oxyR/PAL049_S49_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL049_S49_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL049_S49_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL049_S49_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL049_S49_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL049_S49_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL049_S49_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL049_S49_L004_R2_001.fastq.gz,7,GSE135516,SRR9919242,SRX6668332,Amitesh Anand,Amitesh Anand,oxyR,ILLUMINA,3/8/2019,oxyR:oxyR_ale19_h2o2,oxyR__oxyR_ale19_h2o2__1,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,HiSeq 4000,Escherichia coli OxyR.19.39,glucose(4),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,H2O2(2mM),,,,Clonal
p1k_00336,OxyR ALE,oxyR_ale19_h2o2,2,p1k_00317;p1k_00318,GMOS,,,,"",10.1093/molbev/msz251,,e_coli,precise1k,s3://precise-db/raw_data/oxyR/PAL050_S50_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL050_S50_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL050_S50_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL050_S50_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL050_S50_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL050_S50_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL050_S50_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL050_S50_L004_R2_001.fastq.gz,7,GSE135516,SRR9919243,SRX6668333,Amitesh Anand,Amitesh Anand,oxyR,ILLUMINA,3/8/2019,oxyR:oxyR_ale19_h2o2,oxyR__oxyR_ale19_h2o2__2,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,HiSeq 4000,Escherichia coli OxyR.19.39,glucose(4),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,H2O2(2mM),,,,Clonal
p1k_00337,OxyR ALE,oxyR_ale20,1,p1k_00317;p1k_00318,GMOS,,,,"",10.1093/molbev/msz251,,e_coli,precise1k,s3://precise-db/raw_data/oxyR/PAL051_S51_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL051_S51_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL051_S51_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL051_S51_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL051_S51_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL051_S51_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL051_S51_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL051_S51_L004_R2_001.fastq.gz,7,GSE135516,SRR9919244,SRX6668334,Amitesh Anand,Amitesh Anand,oxyR,ILLUMINA,3/8/2019,oxyR:oxyR_ale20,oxyR__oxyR_ale20__1,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,HiSeq 4000,Escherichia coli OxyR.20.40,glucose(4),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00338,OxyR ALE,oxyR_ale20,2,p1k_00317;p1k_00318,GMOS,,,,"",10.1093/molbev/msz251,,e_coli,precise1k,s3://precise-db/raw_data/oxyR/PAL052_S52_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL052_S52_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL052_S52_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL052_S52_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL052_S52_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL052_S52_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL052_S52_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL052_S52_L004_R2_001.fastq.gz,7,GSE135516,SRR9919245,SRX6668335,Amitesh Anand,Amitesh Anand,oxyR,ILLUMINA,3/8/2019,oxyR:oxyR_ale20,oxyR__oxyR_ale20__2,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,HiSeq 4000,Escherichia coli OxyR.20.40,glucose(4),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00339,OxyR ALE,oxyR_ale20_h2o2,1,p1k_00317;p1k_00318,GMOS,,,,"",10.1093/molbev/msz251,,e_coli,precise1k,s3://precise-db/raw_data/oxyR/PAL053_S53_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL053_S53_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL053_S53_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL053_S53_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL053_S53_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL053_S53_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL053_S53_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL053_S53_L004_R2_001.fastq.gz,7,GSE135516,SRR9919246,SRX6668336,Amitesh Anand,Amitesh Anand,oxyR,ILLUMINA,3/8/2019,oxyR:oxyR_ale20_h2o2,oxyR__oxyR_ale20_h2o2__1,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,HiSeq 4000,Escherichia coli OxyR.20.40,glucose(4),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,H2O2(2mM),,,,Clonal
p1k_00340,OxyR ALE,oxyR_ale20_h2o2,2,p1k_00317;p1k_00318,GMOS,,,,"",10.1093/molbev/msz251,,e_coli,precise1k,s3://precise-db/raw_data/oxyR/PAL054_S54_L001_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL054_S54_L002_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL054_S54_L003_R1_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL054_S54_L004_R1_001.fastq.gz,s3://precise-db/raw_data/oxyR/PAL054_S54_L001_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL054_S54_L002_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL054_S54_L003_R2_001.fastq.gz;s3://precise-db/raw_data/oxyR/PAL054_S54_L004_R2_001.fastq.gz,7,GSE135516,SRR9919247,SRX6668337,Amitesh Anand,Amitesh Anand,oxyR,ILLUMINA,3/8/2019,oxyR:oxyR_ale20_h2o2,oxyR__oxyR_ale20_h2o2__2,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,HiSeq 4000,Escherichia coli OxyR.20.40,glucose(4),2,NH4Cl(1),,TRUE,TRUE,TRUE,TRUE,TRUE,H2O2(2mM),,,,Clonal
p1k_00341,SvNS PGI,BmePgi24_15,1,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_15R1_S46_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_15R1_S46_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,4/5/2019,svns_pgi:BmePgi24_15,svns_pgi__BmePgi24_15__1,M9,Batch,2,PAIRED,TRUE,Midpoint,37,O2,NextSeq,Escherichia coli BmePgi 24.15,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00342,SvNS PGI,BmePgi24_15,2,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_15R2_S47_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_15R2_S47_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,4/5/2019,svns_pgi:BmePgi24_15,svns_pgi__BmePgi24_15__2,M9,Batch,2,PAIRED,TRUE,Midpoint,37,O2,NextSeq,Escherichia coli BmePgi 24.15,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00343,SvNS PGI,BmePgi24_26,1,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_26R1_S48_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_26R1_S48_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,4/5/2019,svns_pgi:BmePgi24_26,svns_pgi__BmePgi24_26__1,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,NextSeq,Escherichia coli BmePgi 24.26,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00344,SvNS PGI,BmePgi24_26,2,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_26R2_S49_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_26R2_S49_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,4/5/2019,svns_pgi:BmePgi24_26,svns_pgi__BmePgi24_26__2,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,NextSeq,Escherichia coli BmePgi 24.26,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00345,SvNS PGI,BmePgi24_41,1,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_41R1_S50_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_41R1_S50_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,4/5/2019,svns_pgi:BmePgi24_41,svns_pgi__BmePgi24_41__1,M9,Batch,2,PAIRED,TRUE,Midpoint,37,O2,NextSeq,Escherichia coli BmePgi 24.41,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00346,SvNS PGI,BmePgi24_41,2,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_41R2_S51_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_41R2_S51_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,4/5/2019,svns_pgi:BmePgi24_41,svns_pgi__BmePgi24_41__2,M9,Batch,2,PAIRED,TRUE,Midpoint,37,O2,NextSeq,Escherichia coli BmePgi 24.41,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00347,SvNS PGI,BmePgi24_52,1,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_52R1_S52_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_52R1_S52_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,4/5/2019,svns_pgi:BmePgi24_52,svns_pgi__BmePgi24_52__1,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,NextSeq,Escherichia coli BmePgi 24.52,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00348,SvNS PGI,BmePgi24_52,2,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_52R2_S53_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_BmePgi24_52R2_S53_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,4/5/2019,svns_pgi:BmePgi24_52,svns_pgi__BmePgi24_52__2,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,NextSeq,Escherichia coli BmePgi 24.52,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00349,SvNS PGI,PaePgi2_34,1,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi234R1_S7_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi234R1_S7_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,5/9/2019,svns_pgi:PaePgi2_34,svns_pgi__PaePgi2_34__1,M9,Batch,2,PAIRED,TRUE,Midpoint,37,O2,NextSeq,Escherichia coli PaePgi 2.34,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00350,SvNS PGI,PaePgi2_34,2,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi234R2_S8_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi234R2_S8_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,5/9/2019,svns_pgi:PaePgi2_34,svns_pgi__PaePgi2_34__2,M9,Batch,2,PAIRED,TRUE,Midpoint,37,O2,NextSeq,Escherichia coli PaePgi 2.34,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00351,SvNS PGI,PaePgi2_63,1,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi263R1_S9_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi263R1_S9_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,5/9/2019,svns_pgi:PaePgi2_63,svns_pgi__PaePgi2_63__1,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,NextSeq,Escherichia coli PaePgi 2.63,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00352,SvNS PGI,PaePgi2_63,2,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi263R2_S10_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi263R2_S10_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,5/9/2019,svns_pgi:PaePgi2_63,svns_pgi__PaePgi2_63__2,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,NextSeq,Escherichia coli PaePgi 2.63,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00353,SvNS PGI,PaePgi24_54,1,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi2454R1_S11_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi2454R1_S11_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,5/9/2019,svns_pgi:PaePgi24_54,svns_pgi__PaePgi24_54__1,M9,Batch,2,PAIRED,TRUE,Midpoint,37,O2,NextSeq,Escherichia coli PaePgi 24.54,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00354,SvNS PGI,PaePgi24_54,2,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi2454R2_S12_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi2454R2_S12_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,5/9/2019,svns_pgi:PaePgi24_54,svns_pgi__PaePgi24_54__2,M9,Batch,2,PAIRED,TRUE,Midpoint,37,O2,NextSeq,Escherichia coli PaePgi 24.54,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00355,SvNS PGI,PaePgi24_90,1,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi2490R1_S13_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi2490R1_S13_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,5/9/2019,svns_pgi:PaePgi24_90,svns_pgi__PaePgi24_90__1,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,NextSeq,Escherichia coli PaePgi 24.90,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00356,SvNS PGI,PaePgi24_90,2,p1k_00001;p1k_00002,MG1655,,pgi,,"b4025",10.1038/s41559-020-1271-x,,e_coli,precise1k,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi2490R2_S14_R1_001.fastq.gz,s3://precise-db/raw_data/svns_pgi/SvNS_HRS_PaePgi2490R2_S14_R2_001.fastq.gz,7,GSE224989,,,Troy Sandberg,Troy Sandberg,svns_pgi,ILLUMINA,5/9/2019,svns_pgi:PaePgi24_90,svns_pgi__PaePgi24_90__2,M9,Batch,2,PAIRED,TRUE,Endpoint,37,O2,NextSeq,Escherichia coli PaePgi 24.90,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,Clonal
p1k_00357,Antibiotic Media,m9_ctrl,1,p1k_00357;p1k_00358,MG1655,,,,"",10.1128/mSphere.00443-21,,e_coli,precise1k,s3://precise-db/raw_data/abx_media/MIC_HRS_M9cntrlR1_S35_R1_001.fastq.gz,s3://precise-db/raw_data/abx_media/MIC_HRS_M9cntrlR1_S35_R2_001.fastq.gz,7,GSE159494,SRR12820309,SRX9288042,Anand Sastry,Julia Xu,abx_media,ILLUMINA,7/3/2019,abx_media:m9_ctrl,abx_media__m9_ctrl__1,M9,Batch,2,PAIRED,TRUE,No,37,O2,NextSeq,Escherichia coli K-12 MG1655,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
p1k_00358,Antibiotic Media,m9_ctrl,2,p1k_00357;p1k_00358,MG1655,,,,"",10.1128/mSphere.00443-21,,e_coli,precise1k,s3://precise-db/raw_data/abx_media/M9cntrlR2_S23_R1_001.fastq.gz,s3://precise-db/raw_data/abx_media/M9cntrlR2_S23_R2_001.fastq.gz,7,GSE159494,SRR12820310,SRX9288043,Anand Sastry,Julia Xu,abx_media,ILLUMINA,7/3/2019,abx_media:m9_ctrl,abx_media__m9_ctrl__2,M9,Batch,2,PAIRED,TRUE,No,37,O2,NextSeq,Escherichia coli K-12 MG1655,glucose(4),2,NH4Cl(1),sauer trace element mixture,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
p1k_00359,Antibiotic Media,rpmi_ctrl,1,p1k_00357;p1k_00358,MG1655,,,,"",10.1128/mSphere.00443-21,,e_coli,precise1k,s3://precise-db/raw_data/abx_media/MIC_HRS_RPMIcntrlR1_S36_R1_001.fastq.gz,s3://precise-db/raw_data/abx_media/MIC_HRS_RPMIcntrlR1_S36_R2_001.fastq.gz,7,GSE159494,SRR12820311,SRX9288044,Anand Sastry,Julia Xu,abx_media,ILLUMINA,7/3/2019,abx_media:rpmi_ctrl,abx_media__rpmi_ctrl__1,RPMI+10%LB,Batch,2,PAIRED,TRUE,No,37,O2,NextSeq,Escherichia coli K-12 MG1655,,2,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
